code1,code2,similar
"['num = [[0 for i in range(101)] for j in range(101)]\n', 'r, c = map(int, input().split())\n', 'for i in range(r):\n', '    num[i][:c] = list(map(int, input().split()))\n', '    for j in range(c):\n', '        num[i][c] += num[i][j]\n', 'for j in range(c+1):\n', '    for i in range(r):\n', '        num[r][j] += num[i][j]\n', 'for i in range(r+1):\n', '    for j in range(c):\n', ""        print(num[i][j], end=' ')\n"", '    print(num[i][c])']","['r, c = map(int, input().split())\n', 'table = []\n', 'for i in range(r):\n', '    table.append(list(map(int, input().split())))\n', 'for i in table:\n', '    i.append(sum(i))\n', 'b = []\n', 'for i in range(c):\n', '    x = 0\n', '    for k in range(r):\n', '        x += table[k][i]\n', '    b.append(x)\n', 'b.append(sum(b))\n', 'for i in table:\n', '    print("" "".join(map(str, i)))\n', 'print("" "".join(map(str, b)))\n']",1
"['X = int(input())\n', 't = X\n', 'ans = 1\n', 'while t%360 != 0:\n', '    t += X\n', '    ans += 1\n', 'print(ans)\n']","['def gcd(a, b):\n', '    while b:\n', '        a, b = b, a%b\n', '    return a\n', '\n', 'def lcm(a, b):\n', '    return a*b//gcd(a, b)\n', '\n', 'X = int(input())\n', 'print(lcm(360, X)//X)']",1
"['n = int(input())\n', '\n', 'class Node:\n', '    def __init__(self, idd, neighbors):\n', '        self.idd = idd\n', '        self.neighbors = neighbors\n', '        self.foundAt = 0\n', '        self.completeAt = 0\n', '        \n', '    def __repr__(self):\n', '        return ""{0} {1} {2}"".format(self.idd, self.foundAt, self.completeAt)\n', '\n', 'Nodes = [None] * n\n', 'for i in range(n):\n', '    row = [int(tt) for tt in input().split()]\n', '    Nodes[row[0]-1] = Node(row[0], [ row[j + 2] for j in range(row[1])])\n', '        \n', 'def depthSearch(Nodes):\n', '    stack = [Nodes[0]]\n', '    \n', '    time = 2\n', '    current = stack[-1]\n', '    current.foundAt = 1\n', '    while len(stack) > 0 or any([node.foundAt==0 for node in Nodes]):\n', '        if(len(stack)==0):\n', '            newStart = [node for node in Nodes if node.foundAt==0][0]\n', '            newStart.foundAt = time\n', '            stack.append(newStart)\n', '            time += 1\n', '        current = stack[-1]\n', '        if(len(current.neighbors) > 0):\n', '            next_n = Nodes[current.neighbors.pop(0)-1]\n', '            if(next_n.foundAt != 0):\n', '                continue\n', '            next_n.foundAt = time\n', '            stack.append(next_n)\n', '        else:\n', '            current.completeAt = time\n', '            stack.pop(-1)\n', '        time += 1\n', '    return Nodes\n', 'Nodes = depthSearch(Nodes)\n', 'for node in Nodes:\n', '    print(node)\n']","['# http://judge.u-aizu.ac.jp/onlinejudge/review.jsp?rid=4647653#1\n', '\n', '\n', '\n', 'import sys\n', 'sys.setrecursionlimit(10 ** 8)\n', 'input = sys.stdin.readline\n', '\n', 'class Graph:\n', '    def __init__(self, n, dictated=False, decrement=True, edge=[]):\n', '        self.n = n\n', '        self.dictated = dictated\n', '        self.decrement = decrement\n', '        self.edge = [set() for _ in range(self.n)]\n', '        self.parent = [-1]*self.n\n', '        self.info = [-1]*self.n\n', '        for x, y in edge:\n', '            self.add_edge(x,y)\n', '\n', '    def add_edge(self,x,y):\n', '        if self.decrement:\n', '            x -= 1\n', '            y -= 1\n', '        self.edge[x].add(y)\n', '        if self.dictated == False:\n', '            self.edge[y].add(x)\n', '\n', '    def add_adjacent_list(self,i,adjacent_list):\n', '        if self.decrement:\n', '            self.edge[i] = set(map(lambda x:x-1, adjacent_list))\n', '        else:\n', '            self.edge[i] = set(adjacent_list)\n', '\n', '    def path_detector(self, start=0, time=0):\n', '        """"""\n', '        :param p: スタート地点\n', '        :return: 各点までの距離と何番目に発見したかを返す\n', '        """"""\n', '\n', '        edge2= []\n', '        for i in range(self.n):\n', '            edge2.append(sorted(self.edge[i], reverse=True))\n', '\n', '        p, t = start, time\n', '        self.parent[p] = -2\n', '        full_path = [(p + self.decrement,t)]\n', '        while True:\n', '            if edge2[p]:\n', '                q = edge2[p].pop()\n', '                if q == self.parent[p] and not self.dictated:\n', '                    """""" 逆流した時の処理 """"""\n', '                    """"""""""""""""""""""""""""""""""""""""\n', '                    continue\n', '                if self.parent[q] != -1:\n', '                    """""" サイクルで同一点を訪れた時の処理 """"""\n', '                    """"""""""""""""""""""""""""""""""""""""\n', '                    continue\n', '                self.parent[q] = p\n', '                p, t = q, t + 1\n', '                full_path.append((p + self.decrement, t))\n', '            else:\n', '                """""" 探索完了時の処理 """"""\n', '                full_path.append((p + self.decrement, t))\n', '                """"""""""""""""""""""""""""""""""""""""\n', '                if p == start and t == time:\n', '                    break\n', '                p, t = self.parent[p], t-1\n', '                """""" 二度目に訪問時の処理 """"""\n', '                """"""""""""""""""""""""""""""""""""""""\n', '        return full_path\n', '\n', '    def path_list(self):\n', '        """"""\n', '        :return: 探索経路を返す。\n', '        """"""\n', '        self.parent = [-1]*self.n\n', '        res = []\n', '        for p in range(self.n):\n', '            if self.parent[p] == -1:\n', '                res.append(self.path_detector(start=p, time=1))\n', '        return res\n', '\n', '    def draw(self):\n', '        """"""\n', '        :return: グラフを可視化\n', '        """"""\n', '        import matplotlib.pyplot as plt\n', '        import networkx as nx\n', '\n', '        if self.dictated:\n', '            G = nx.DiGraph()\n', '        else:\n', '            G = nx.Graph()\n', '        for x in range(self.n):\n', '            for y in self.edge[x]:\n', '                G.add_edge(x + self.decrement, y + self.decrement)\n', '        nx.draw_networkx(G)\n', '        plt.show()\n', '\n', 'def make_graph(dictated=False, decrement=True):\n', '    """"""\n', '    自己ループの無いグラフを生成。N>=2\n', '    :param dictated: True = 有効グラフ\n', '    :param decrement: True = 1-indexed\n', '    :return:\n', '    """"""\n', '    import random\n', '    N = random.randint(2, 5)\n', '    if N > 2:\n', '        M_max = (3*N-6)*(1+dictated)\n', '    else:\n', '        M_max = 1\n', '    graph = Graph(N, dictated, decrement)\n', '    for _ in range(random.randint(0,M_max)):\n', '        graph.add_edge(*random.sample(range(decrement, N+decrement), 2))\n', '    return graph\n', '\n', '##################################################################\n', '# 入力が隣接リストの場合\n', '##################################################################\n', '\n', 'N = int(input())  # 頂点数\n', '\n', 'graph = Graph(N,dictated=True, decrement=True)\n', '\n', 'for i in range(N):  # [[頂点1と連結している頂点の集合], [頂点2と連結している頂点の集合],...]\n', '    points = list(map(int, input().split()))[2:]\n', '    graph.add_adjacent_list(i, points)\n', '\n', '\n', 'data = graph.path_list()\n', '\n', 'from itertools import chain\n', 'data = list(chain.from_iterable(data))\n', '\n', 'res = [[i+1,0,0] for i in range(N)]\n', 'for time, a in enumerate(data, start=1):\n', '    i = a[0] - 1\n', '    if res[i][1]:\n', '        res[i][2] = time\n', '    else:\n', '        res[i][1] = time\n', '\n', 'for a in res:\n', '    print(*a)\n']",1
"['n = int(input())\n', 'A = []\n', 'B = []\n', 'for i in range(n):\n', '    a, b = map(int, input().split())\n', '    A.append(a)\n', '    B.append(b)\n', '\n', 'A.sort()\n', 'B.sort()\n', '\n', 'if n % 2:\n', '    l = A[n // 2]\n', '    r = B[n // 2]\n', '    ans = r - l + 1\n', '    print(ans)\n', 'else:\n', '    l = A[n // 2 - 1] + A[n // 2]\n', '    r = B[n // 2 - 1] + B[n // 2]\n', '    ans = r - l + 1\n', '    print(ans)\n']","['n=int(input())\n', 'a=[]\n', 'b=[]\n', '\n', 'for i in range(n):\n', '  x,y=map(int,input().split())\n', '  a+=[x]\n', '  b+=[y]\n', '  \n', 'a.sort()\n', 'b.sort()\n', '\n', 'if n%2==1:\n', '  print(b[n//2]-a[n//2]+1)\n', '  \n', 'else:\n', '  print((b[n//2]+b[n//2-1])-(a[n//2]+a[n//2-1])+1)']",1
"['a,b,c = map(int,input().split())\n', 'print(""%d %d %d"" %(c,a,b))']","['x,y,z = map(int,input().split());print(z,x,y)']",1
"['N,K,S = [int(hoge) for hoge in input().split()]\n', 'import math\n', '#累積和数列であって、Ar-Al=Sを満たすものが丁度K個ある\n', 'if S==10**9:\n', '    print(*([S]*K + [27]*(N-K)))\n', '\n', 'elif S:\n', '    print(*([S]*K + [S+1]*(N-K)))\n', 'else:\n', '    ans = []\n', '    while 1:\n', '        if K==2:\n', '            ans +=[0,1,0]\n', '            break            \n', '        for R in range(N):\n', '            if (R+1)*(R+2)//2 > K:break\n', '        print(K)\n', '        if K==0:break\n', '        ans += [0]*R+[1]\n', '        K = K - R*(R+1)//2 \n', '        \n', '    print(ans + [1]*(N-len(ans)))']","['n, k, s = map(int, input().split())\n', 'a = [s] * n\n', 'if s == 1:\n', '    s = 2\n', 'else:\n', '    s -=1\n', 'for i in range(k, n):\n', '    a[i] = s\n', 'print(a[0], end = """")\n', 'for i in a[1:]:\n', '    print("""", i, end = """")\n', 'print()\n']",1
"['import sys\n', 'def input(): return sys.stdin.readline().rstrip()\n', 'class Sieve: #区間[2,n]の値の素因数分解 前処理O(nloglogn)素因数分解O(logn)\n', '    def __init__(self,n=1):\n', '        self.primes=[]\n', '        self.f=[0]*(n+1) #ふるい（素数ならその値）\n', '        self.f[0]=self.f[1]=-1\n', '        for i in range(2,n+1): #素数リスト作成\n', '            if self.f[i]: continue\n', '            self.primes.append(i)\n', '            self.f[i]=i\n', '            for j in range(i*i,n+1,i):\n', '                if not self.f[j]:\n', '                    self.f[j]=i  #最小の素因数を代入\n', '    def is_prime(self, x):\n', '        return self.f[x]==x\n', '    def prime_fact(self,x): #素因数分解 {2:p,3:q,5:r,...}\n', '        fact_dict=dict()\n', '        while x!=1:\n', '            p=self.f[x]\n', '            fact_dict[p]=fact_dict.get(p,0)+1\n', '            x//=self.f[x]\n', '        return fact_dict\n', 'class Sieve2: #√nまでの素因数で試し割り 前処理O(√nloglogn+√n/logn)\n', '    def __init__(self,n):\n', '        self.primes=[]\n', '        self.f=[0]*(int(n**0.5)+1) #ふるい（素数ならその値）\n', '        self.f[0]=self.f[1]=-1\n', '        for i in range(2,int(n**0.5)+1): #素数リスト作成\n', '            if self.f[i]: continue\n', '            self.primes.append(i)\n', '            self.f[i]=i\n', '            for j in range(i*i,int(n**0.5)+1,i):\n', '                if not self.f[j]:\n', '                    self.f[j]=i  #最小の素因数を代入\n', '    def prime_fact(self,x): #素因数分解 {2:p,3:q,5:r,...}\n', '        fact_dict=dict()\n', '        for p in self.primes:\n', '            if p*p>x:break\n', '            while x%p==0:\n', '                x//=p\n', '                fact_dict[p]=fact_dict.get(p,0)+1\n', '        if x>1:fact_dict[x]=fact_dict.get(x,0)+1\n', '        return fact_dict\n', '\n', 'def main():\n', '    n=int(input())\n', '    A=list(map(int,input().split()))\n', '    mod=10**9+7\n', '    p_lis={}\n', '    Prime=Sieve2(10**6+5)\n', '    for a in A:\n', '        f=Prime.prime_fact(a)\n', '        for key in f:\n', '            p_lis[key]=max(p_lis.get(key,0),f[key])\n', '    lcm=1\n', '    for key in p_lis:\n', '        lcm=(lcm*pow(key,p_lis[key],mod))%mod\n', '    ans=0\n', '    for a in A:\n', '        b=lcm*pow(a,mod-2,mod)%mod\n', '        ans=(ans+b)%mod\n', '    print(ans)\n', '\n', '\n', ""if __name__ == '__main__':\n"", '    main()\n', '\n']","['import sys\n', 'import fractions\n', 'input = sys.stdin.readline\n', '\n', '\n', 'mod = 10 ** 9 + 7\n', 'N = int(input().strip())\n', 'A = list(map(int, input().strip().split("" "")))\n', '\n', 'lcm = 1\n', 'for a in A:\n', '    lcm = a // fractions.gcd(a, lcm) * lcm\n', '\n', 'ans = 0\n', 'for a in A:\n', '    ans += lcm // a\n', '\n', 'print(ans % mod)']",1
"['from collections import defaultdict\n', 'n,k = map(int,input().split())\n', 'a = list(map(int,input().split()))\n', 'for i in range(n):\n', '    a[i] -= 1\n', '    a[i] %= k\n', '\n', 'S = [0]\n', 'for i in range(n):\n', '    S.append((S[-1]+a[i])%k)\n', '\n', 'ans = 0\n', 'dic = defaultdict(int)\n', 'dic[0] = 1\n', 'for i in range(1,n+1):\n', '    if i >= k:\n', '        dic[S[i-k]] -= 1\n', '    ans += max(0,dic[S[i]])\n', '    dic[(S[i])] += 1\n', '\n', 'print(ans)']","['import sys\n', 'input = sys.stdin.buffer.readline\n', 'from collections import defaultdict\n', '\n', 'def main():\n', '    N,K = map(int,input().split())\n', '    a = list(map(int,input().split()))\n', '    \n', '    d = defaultdict(int)\n', '    cum = [0]\n', '    for i in range(N):\n', '        cum.append((cum[-1]+a[i]-1)%K)\n', '    \n', '    ans = 0\n', '    for i in range(N+1):\n', '        ans += d[cum[i]]\n', '        d[cum[i]] += 1\n', '        if i >= K-1:\n', '            d[cum[i-K+1]] -= 1\n', '    \n', '    print(ans)\n', '    \n', 'if __name__ == ""__main__"":\n', '    main()\n']",1
"['n = int(input())\n', 'a = list(map(int,input().split()))\n', 'b = [2 ** i for i in range(n)]\n', 'c = {}\n', 'for i in range(2 ** n):\n', '    k = 0\n', '    k += i\n', '    v = 0\n', '    for j in range(n)[::-1]:\n', '        v += k // b[j] * a[j]\n', '        k %= b[j]\n', '    c[v] = 0\n', 'm = int(input())\n', 'a = list(map(int,input().split()))\n', 'for i in range(m):\n', '    try:\n', '        c[a[i]]\n', '        print(""yes"")\n', '    except:\n', '        print(""no"")\n', '    \n']","['n= int(input())\n', 'A = list(map(int, input().split()))\n', 'q = int(input())\n', 'Mi = map(int, input().split())\n', 'PS={}\n', 'def solve(i,m):\n', ' if m == 0:\n', '  return True\n', ' if (i,m) in PS:\n', '  return PS[(i,m)]\n', ' if i >= n:\n', '  return False\n', ' res = solve(i+1, m) or solve(i + 1, m - A[i])\n', ' PS[(i,m)] = res\n', ' return res\n', '\n', 'for m in Mi:\n', ' if solve(0, m):\n', '  print(""yes"")\n', ' else:\n', '  print(""no"")']",1
"['import bisect,collections,copy,heapq,itertools,math,string\n', 'import numpy as np\n', 'import sys\n', 'sys.setrecursionlimit(10**7)\n', '\n', 'def _S(): return sys.stdin.readline().rstrip()\n', 'def I(): return int(sys.stdin.readline().rstrip())\n', 'def LI(): return list(map(int,sys.stdin.readline().rstrip().split()))\n', 'def LS(): return list(sys.stdin.readline().rstrip().split())\n', '\n', 'N = I()\n', '#H,N = LI()\n', '_XY = [LI() for _ in range(N)]\n', '# X,Y = zip(*XY)\n', 'XY = np.array(_XY)\n', '#C = np.zeros(N + 1)\n', '# print(XY)\n', '\n', '# print(np.linalg.norm(XY[1]-XY[0]))\n', '\n', 'def calcdis(p1,p2):\n', '    return np.linalg.norm(p2-p1)\n', '\n', 'ans = []\n', 'for i in range(N):\n', '    tmp = 0\n', '    for j in range(N):\n', '        if not i==j:\n', '            # print(i,j)\n', '            tmp += calcdis(XY[i],XY[j])\n', '    ans.append(tmp)\n', 'print(np.average(ans))\n', '\n', '# if ans:\n', ""#     print('Yes')\n"", '# else:\n', ""#     print('No')""]","['import itertools, math\n', 'N = int(input())\n', 'ls, L = [], 0\n', 'for i in range(N):\n', ""    x, y = map(int, input().split(' '))\n"", '    ls.append([x, y])\n', 'perms = itertools.permutations(range(N))\n', 'for perm in perms:\n', '    for i in range(N - 1):\n', '        L += math.sqrt((ls[perm[i + 1]][0] - ls[perm[i]][0]) ** 2 + (ls[perm[i + 1]][1] - ls[perm[i]][1]) ** 2)\n', 'print(L / math.factorial(N))']",1
