code1,code2,similar
"['#C - Traveling Salesman around Lake WA(ヒント)\n', 'K,N = map(int,input().split())\n', 'A = list(map(int, input().split()))\n', '\n', 'A[N+1:] = [A[0] + K]#Aを二回繰り返して円を表現\n', '\n', 'distance_list = []\n', 'for i in range(N):\n', '    distance = abs(A[i] - A[i+1])\n', '    distance_list.append(distance)\n', 'distance_list.remove(max(distance_list))\n', 'print(sum(distance_list))']","['import sys\n', '\n', 'lines = [line.strip() for line in sys.stdin]\n', 's = lines[0] + lines[0]\n', 'p = lines[1].strip()\n', '\n', 'if s.find(p) != -1:\n', ""    print('Yes')\n"", 'else:\n', ""    print('No')""]",0
"['N,M=map(int, input().split())\n', 'a = list(map(int, input().split()))\n', 'z = sum(a)\n', 'a.sort(reverse=True)\n', '\n', 'for i in a[:M]:\n', '    if i < z/4/M:\n', ""        print('No')\n"", '        break\n', 'else:\n', ""    print('Yes')""]","['class CircleInaRectangle:\n', '    def __init__(self, W, H, x, y, r):\n', '        if 0 <= x - r and 0 <= y - r and x + r <= W and y + r <= H:\n', '            print ""Yes""\n', '        else:\n', '            print ""No""\n', '\n', 'if __name__ == ""__main__"":\n', '    W, H, x, y, r = map(int, raw_input().split())\n', '    CircleInaRectangle(W, H, x, y, r)']",0
"['X,Y= map(int,input().split())\n', 'a = Y/2-X \n', 'b = X*2-Y/2\n', '\n', 'if Y%2 ==0:\n', '    if a >= 0 and b >= 0:\n', ""        print('Yes')\n"", '    else:\n', ""        print('No')\n"", 'else:\n', ""    print('No')""]","['def i1():\n', ' return int(input())\n', 'def i2():\n', ' return [int(i) for i in input().split()]\n', 'mod=10**9+7\n', 'def bp(a,n):\n', '        r=1\n', '        while(n):\n', '           if n%2:\n', '              r=r*a%mod\n', '           a=a*a%mod\n', '           n>>=1\n', '        return r\n', '[n,k]=i2()\n', 'if n<=k:\n', '   x=1\n', '   for i in range(n-1):\n', '      x*=2*n-1-i\n', '      x%=mod\n', '   y=1\n', '   for i in range(n-1):\n', '      y*=i+1\n', '      y%=mod\n', '   print((x*bp(y,10**9+5))%mod)   \n', '   \n', 'else:\n', '   x=1\n', '   y=1\n', '   t=1\n', '   for i in range(k):\n', '      t*=i+1\n', '      t%=mod\n', '      y*=n-1-i\n', '      y%=mod\n', '      y*=n-i\n', '      y%=mod\n', '      c=bp(t,10**9+5)\n', '      x+=y*c*c\n', '      x%=mod\n', '   print(x)   ']",0
"['#!/usr/bin/env python3\n', 'X, Y = map(int, input().split())\n', 'if (X + Y) % 3:\n', '    exit(print(0))\n', 'm = (2*X - Y) // 3\n', 'n = X - 2*m\n', 'if n < 0 or m < 0:\n', '    exit(print(0))\n', '\n', '## class\n', 'def egcd(a, b):\n', '    if a == 0:\n', '        return (b, 0, 1)\n', '    else:\n', '        g, y, x = egcd(b % a, a)\n', '        return (g, x - (b // a) * y, y)\n', '\n', 'def modinv(a, m):\n', '    g, x, y = egcd(a, m)\n', '    if g != 1:\n', ""        raise Exception('modular inverse does not exist')\n"", '    else:\n', '        return x % m\n', '\n', 'def power(a, b, c):\n', '    try:\n', '        return pow(a, b, c)\n', '    except (ValueError, TypeError) as e:\n', '        if b < 0:\n', '            return pow(modinv(a, c), -b, c)\n', '        else:\n', '            print(e)\n', '\n', 'class Factorial:\n', '    def __init__(self, n, mod):\n', '        self.f = f =[0] * (n + 1)\n', '        f[0] = b = 1\n', '        for i in range(1, n + 1):f[i] = b = b * i % mod\n', '        self.inv = inv = [0] * (n + 1)\n', '        inv[n] = b = power(self.f[n], -1, mod)\n', '        for i in range(n,0,-1):inv[i-1] = b = b * i % mod\n', '        self.mod = mod\n', '    def factorial(self, i):\n', '        return self.f[i]\n', '    def ifactorial(self, i):\n', '        return self.inv[i]\n', '    def comb(self, n, k):\n', '        if n >= k:return self.f[n] * self.inv[n - k] * self.inv[k] % self.mod\n', '        else:return 0\n', '\n', 'def nCr(n, r, mod = None, limit = None):\n', '    if mod and limit:\n', '        return Factorial(limit, mod).comb(n, r)\n', '    elif mod:\n', '        r = min(r, n - r)\n', '        a = 1\n', '        for i in range(r):\n', '            a = a * (n - i) * power(i + 1, mod - 2, mod) % mod\n', '        return a\n', '    else:\n', '        from math import factorial as f\n', '        return f(n) // (f(n - r) * f(r))\n', '\n', 'MOD = 10**9+7\n', 'print(nCr(m + n, n, MOD, 2*10**6))']","['# 27\n', ""N, A, B = map(int, input().split(' '))\n"", ' \n', 'ans = 0\n', 'if (A + B) != 0:\n', '    taple = divmod(N, A + B)\n', '    ans = taple[0] * A\n', '    if B == 0: ans = N\n', '    elif taple[1] > A: ans += A\n', '    else: ans += taple[1]\n', ' \n', 'print(ans)']",0
"['N = int(input())\n', 'X = str(input())\n', 'F = [0] * N\n', '\n', 'def calc_f(n:int)->int:\n', '    global F\n', '    x = n\n', '    res = 0\n', '    while 0 < x:\n', '        if F[x] != 0:\n', '            res += F[x]\n', '            break\n', ""        pop = bin(n).count('1')\n"", '        x %= pop\n', '        res += 1\n', '    F[n] = res\n', '\n', '# 前処理 N以下のF値テーブル\n', 'for i in range(1, N):\n', '    calc_f(i)\n', '\n', '# ビット反転すると初期の1の個数に対して+1または-1どちらか\n', ""pop_ini = X.count('1')\n"", 'pp = pop_ini + 1  # pop_plus\n', 'pm = pop_ini - 1  # pop_minus\n', '\n', '# 2進の各桁をppとpmで割った値のテーブル\n', 'ap = [0] * N  # arr_plus\n', 'am = [0] * N  # arr_minus\n', 'for i in range(N):\n', '    ap[i] = pow(2, N-1-i, pp)\n', '    if 0 < pm:\n', '        am[i] = pow(2, N-1-i, pm)\n', '\n', '# 所与のXで計算、ベースになる値\n', 'fp = 0  # f_plus\n', 'fm = 0  # f_minus\n', 'for i in range(N):\n', ""    if X[i] == '1':\n"", '        fp = (fp + ap[i]) % pp\n', '        if 0 < pm:\n', '            fm = (fm + am[i]) % pm\n', '\n', '# 各桁を反転した場合では差分更新のみ\n', 'for i in range(N):\n', '    ans = 1\n', ""    if X[i] == '1':\n"", '        if 0 < pm:\n', '            v = (fm + pm - am[i]) % pm\n', '        else:\n', '            ans = 0\n', '            v = 0\n', '    else:\n', '        v = (fp + ap[i]) % pp\n', '    if 0 < v:\n', '        ans += F[v]\n', '    print(ans)']","['print("""".join([x.upper() if x.islower() else x.lower() for x in raw_input()]))']",0
"[""N, M = map(int, input().split(' '))\n"", 'ac_set = set()\n', 'wa_cnt_list = [0] * N\n', 'ac_cnt, wa_cnt = 0, 0\n', 'for i in range(M):\n', ""    num, res = input().split(' ')\n"", '    num = int(num) - 1\n', '    if num not in ac_set:\n', ""        if res == 'AC':\n"", '            ac_cnt += 1\n', '            wa_cnt += wa_cnt_list[num]\n', '            ac_set.add(num)\n', '        else:\n', '            wa_cnt_list[num] += 1\n', 'print(ac_cnt, wa_cnt)']","['import math\n', '\n', 'n, m = map(int, input().split())\n', 'x = 0\n', 'y = 0\n', 'if n >= 2:\n', '    x = math.factorial(n) // ((math.factorial(n-2))*2)\n', 'elif n <= 1:\n', '    x = 0\n', 'if m >= 2:\n', '    y = math.factorial(m) // ((math.factorial(m-2))*2)\n', 'elif m <= 1:\n', '    y = 0\n', 'print(x + y)']",0
"['import numpy as np\n', 'import sys\n', 'read = sys.stdin.buffer.read\n', 'readline = sys.stdin.buffer.readline\n', '\n', 'from numba import njit\n', '\n', '\n', 'def getInputs():\n', '    D = int(readline())\n', '    CS = np.array(read().split(), np.int32)\n', '    C = CS[:26]\n', '    S = CS[26:].reshape((-1, 26))\n', '    return D, C, S\n', '\n', '\n', ""@njit('(i8, i4[:], i4[:, :], i4[:], )', cache=True)\n"", 'def _compute_score1(D, C, S, out):\n', '    score = 0\n', '    last = np.zeros(26, np.int32)\n', '    for d in range(len(out)):\n', '        i = out[d]\n', '        score += S[d, i]\n', '        last[i] = d + 1\n', '        score -= np.sum(C * (d + 1 - last))\n', '    return last, score\n', '\n', '\n', 'def _update_score():\n', '    pass\n', '\n', ""@njit('(i8, i4[:], i4[:, :], i4[:], i8, )', cache=True)\n"", 'def _random_update(D, C, S, out, score):\n', '    d = np.random.randint(0, D)\n', '    q = np.random.randint(0, 26)\n', '    p = out[d]\n', '\n', '    if p == q:\n', '        return out, score\n', '\n', '    out[d] = q\n', '    _, new_score = _compute_score1(D, C, S, out)\n', '    if score < new_score:\n', '        score = new_score\n', '    else:\n', '        out[d] = p\n', '\n', '    return out, score\n', '\n', '\n', ""@njit('(i8, i4[:], i4[:, :], i4[:], i8, i8, )', cache=True)\n"", 'def _random_swap(D, C, S, out, score, delta):\n', '    d1 = np.random.randint(0, D)\n', '    d2 = np.random.randint(max(0, d1 - delta), min(D, d1 + delta))\n', '    #p, q = out[[d1, d2]]\n', '    p = out[d1]\n', '    q = out[d2]\n', '\n', '    if d1 == d2 or p == q:\n', '        return out, score\n', '\n', '    #out[[d1, d2]] = (q, p)\n', '    out[d1] = q\n', '    out[d2] = p\n', '    _, new_score = _compute_score1(D, C, S, out)\n', '    if score < new_score:\n', '        score = new_score\n', '    else:\n', '        #out[[d1, d2]] = (p, q)\n', '        out[d1] = p\n', '        out[d2] = q\n', '\n', '    return out, score\n', '\n', '\n', '\n', 'def step1(D, C, S):\n', '    out = []\n', '    LAST = 0\n', '    for d in range(D):\n', '        max_score = -10000000\n', '        best_i = 0\n', '        \n', '        for i in range(26):\n', '            out.append(i)\n', '            last, score = _compute_score1(D, C, S, np.array(out, np.int32))\n', '            if max_score < score:\n', '                max_score = score\n', '                LAST = last\n', '                best_i = i\n', '            out.pop()\n', '\n', '        out.append(best_i)\n', '\n', '    return np.array(out), LAST, max_score\n', '\n', '\n', 'def step2(D, C, S, out, score):\n', '    for _ in range(48 * 10 ** 3):\n', '        flag = np.random.rand() >= 0.5\n', '        out = out.astype(np.int32)\n', '\n', '        if flag:\n', '            out, score = _random_update(D, C, S, out, score)\n', '        else:\n', '            out, score = _random_swap(D, C, S, out, score, 13)\n', '\n', '    return out, score\n', '\n', '\n', 'def output(out):\n', '    out += 1\n', ""    print('\\n'.join(out.astype(str).tolist()))\n"", '\n', '\n', 'D, C, S = getInputs()\n', 'out, _, score = step1(D, C, S)\n', '#print(score)\n', 'out, score = step2(D, C, S, out, score)\n', 'output(out)\n', '#print(score)']","['N, M = map(int, input().split())\n', 'S = input()\n', '\n', 'p = N\n', 'ans = []\n', 'ans_ok = True\n', 'while True:\n', '    if p <= M:\n', '        ans.append(p)\n', '        p -= p\n', '        break\n', '    check = False\n', '    for i in range(M, 0, -1):\n', ""        if S[p-i] == '0':\n"", '            check = True\n', '            ans.append(i)\n', '            p -= i\n', '            break\n', '    if not check:\n', '        ans_ok = False\n', '        break\n', 'if ans_ok:\n', ""    print(' '.join(map(str, ans[::-1])))\n"", 'else:\n', '    print(-1)']",0
"['from operator import mul\n', 'from functools import reduce\n', 'import sys\n', '\n', 'def cmb(n,r):\n', '    r=min(n-r,r)\n', '    if r==0:\n', '        return 1\n', '    over=reduce(mul,range(n,n-r,-1))\n', '    under=reduce(mul,range(1,r+1))\n', '    return over//under\n', '\n', 'N,P=map(int,input().split())\n', 'S=list(map(int,list(input())))\n', '\n', 'if P==2:\n', '    ans=0\n', '    for i in range(N):\n', '        if S[i]%2==0:\n', '            ans+=i+1\n', '    print(ans)\n', '    sys.exit()\n', '\n', 'if P==5:\n', '    ans=0\n', '    for i in range(N):\n', '        if S[i]==0 or S[i]==5:\n', '            ans+=i+1\n', '    print(ans)\n', '    sys.exit()\n', '\n', '\n', 'data=[1]*N\n', 'for i in range(N-2,-1,-1):\n', '    data[i]=data[i+1]*10%P\n', '\n', 'data[-1]=data[-1]*S[-1]%P\n', '\n', 'for i in range(N-2,-1,-1):\n', '    data[i]=(data[i]*S[i]+data[i+1])%P\n', '\n', 'data.sort()\n', 'cnt=1\n', 'ans=data.count(0)\n', 'for i in range(1,N):\n', '    if data[i]==data[i-1]:\n', '        cnt+=1\n', '    else:\n', '        if cnt>=2:\n', '            ans+=cmb(cnt,2)\n', '        cnt=1\n', 'if cnt>=2:\n', '    ans+=cmb(cnt,2)\n', '    \n', 'print(ans)']","['S = input()\n', 'T = input()\n', 'largest = 0\n', 'for i in range(len(S) - len(T)+1):\n', '    count = 0\n', '    for j in range(len(T)):\n', '        if S[i+j] == T[j]:\n', '            count += 1\n', '    if largest < count:\n', '        largest = count\n', 'print(len(T) - largest)\n']",0
"['import sys\n', '\n', 'l = []\n', 'for i in sys.stdin:\n', '    l.append(i)\n', '\n', 'for i in range(0,len(l)):\n', '    if int(l[i]) == 0:\n', '        break\n', '    count = 0\n', '    for j in range(0,len(l[i])-1):\n', '        count += int(l[i][j])\n', '    print(count)\n']","['import sys\n', 'sys.setrecursionlimit(10**7)\n', 'def input(): return sys.stdin.readline().rstrip()\n', '\n', '\n', 'def main():\n', '    n, k = map(int, input().split())\n', '    p = tuple(map(int, input().split()))\n', '    c = tuple(map(int, input().split()))\n', '    ans = -10**18\n', '    for i in range(n):\n', '        start, count = i, 1\n', '        val = c[start]\n', '        while p[start]-1 != i:\n', '            start = p[start]-1\n', '            count += 1\n', '            val += c[start]\n', '        start = i\n', '        if val > 0:\n', '            a = (k//count-1)*val\n', '            ans = max(a, ans)\n', '            num = count + k % count\n', '        else:\n', '            a = 0\n', '            num = min(k, count)\n', '        for _ in range(num):\n', '            a += c[start]\n', '            start = p[start] - 1\n', '            ans = max(a, ans)\n', '    print(ans)\n', '\n', '\n', ""if __name__ == '__main__':\n"", '    main()']",0
"['c=0\n', 'for _ in[0]*int(input()):\n', ' x=int(input())\n', ' if 2 in[x,pow(2,x,x)]:c+=1\n', 'print(c)\n']","['from collections import Counter\n', 'N,*D = map(int, open(0).read().split())\n', 'MOD = 998244353\n', 'c = Counter(D)\n', 'cnt = 1\n', 'M = max(c.keys())\n', 'ans = 1\n', 'if D[0]!=0 or c[0]!=1:\n', '  print(0)\n', '  import sys\n', '  sys.exit()\n', 'while cnt<=M:\n', '  ans *= c[cnt-1]**c[cnt]\n', '  ans %= MOD\n', '  cnt += 1\n', 'print(ans)']",0
